Level,maxUnits,maxUnits_Metal,maxUnits_Electricity,maxUnits_Uranium,pv,pv_Metal,pv_Electricity,pv_Uranium,damage,damage_Metal,damage_Electricity,damage_Uranium,cdAttack,cdAttack_Metal,cdAttack_Electricity,cdAttack_Uranium,rangeAttack,rangeAttack_Metal,rangeAttack_Electricity,rangeAttack_Uranium,nbAttack,nbAttack_Metal,nbAttack_Electricity,nbAttack_Uranium
24,38,2880,0,0,33,2880,0,0,28,2880,0,0,31,2880,0,0,33,2880,0,0,10,0,0,0
25,39,3125,2,0,34,3125,2,0,29,3125,2,0,32,3125,2,0,34,3125,2,0,10,0,0,0
26,40,3380,4,0,35,3380,4,0,30,3380,4,0,33,3380,4,0,35,3380,4,0,10,0,0,0
27,41,3645,6,0,36,3645,6,0,31,3645,6,0,34,3645,6,0,36,3645,6,0,10,0,0,0
28,42,3920,8,0,37,3920,8,0,32,3920,8,0,35,3920,8,0,37,3920,8,0,10,0,0,0
29,43,4205,10,0,38,4205,10,0,33,4205,10,0,36,4205,10,0,38,4205,10,0,10,0,0,0
30,44,4500,12,0,39,4500,12,0,34,4500,12,0,37,4500,12,0,39,4500,12,0,10,0,0,0
31,45,4805,14,0,40,4805,14,0,35,4805,14,0,38,4805,14,0,40,4805,14,0,10,0,0,0
32,46,5120,16,0,41,5120,16,0,36,5120,16,0,39,5120,16,0,41,5120,16,0,10,0,0,0
33,47,5445,18,0,42,5445,18,0,37,5445,18,0,40,5445,18,0,42,5445,18,0,10,0,0,0
34,48,5780,20,0,43,5780,20,0,38,5780,20,0,41,5780,20,0,43,5780,20,0,10,0,0,0
35,49,6125,22,0,44,6125,22,0,39,6125,22,0,42,6125,22,0,44,6125,22,0,10,0,0,0
36,50,6480,24,0,45,6480,24,0,40,6480,24,0,43,6480,24,0,45,6480,24,0,10,0,0,0
37,51,6845,26,0,46,6845,26,0,41,6845,26,0,44,6845,26,0,46,6845,26,0,10,0,0,0
38,52,7220,28,0,47,7220,28,0,42,7220,28,0,45,7220,28,0,47,7220,28,0,10,0,0,0
39,53,7605,30,0,48,7605,30,0,43,7605,30,0,46,7605,30,0,48,7605,30,0,10,0,0,0
40,54,8000,32,0,49,8000,32,0,44,8000,32,0,47,8000,32,0,49,8000,32,0,10,0,0,0
41,55,8405,34,0,50,8405,34,0,45,8405,34,0,48,8405,34,0,50,8405,34,0,10,0,0,0
42,56,8820,36,0,51,8820,36,0,46,8820,36,0,49,8820,36,0,51,8820,36,0,10,0,0,0
43,57,9245,38,0,52,9245,38,0,47,9245,38,0,50,9245,38,0,52,9245,38,0,10,0,0,0
44,58,9680,40,0,53,9680,40,0,48,9680,40,0,51,9680,40,0,53,9680,40,0,10,0,0,0
45,59,10125,42,0,54,10125,42,0,49,10125,42,0,52,10125,42,0,54,10125,42,0,10,0,0,0
46,60,10580,44,0,55,10580,44,0,50,10580,44,0,53,10580,44,0,55,10580,44,0,10,0,0,0
47,61,11045,46,0,56,11045,46,0,51,11045,46,0,54,11045,46,0,56,11045,46,0,10,0,0,0
48,62,11520,48,0,57,11520,48,0,52,11520,48,0,55,11520,48,0,57,11520,48,0,10,0,0,0
49,63,12005,50,0,58,12005,50,0,53,12005,50,0,56,12005,50,0,58,12005,50,0,10,0,0,0
50,64,12500,52,0,59,12500,52,0,54,12500,52,0,57,12500,52,0,59,12500,52,0,10,0,0,0
51,65,13005,54,0,60,13005,54,0,55,13005,54,0,58,13005,54,0,60,13005,54,0,10,0,0,0
52,66,13520,56,0,61,13520,56,0,56,13520,56,0,59,13520,56,0,61,13520,56,0,10,0,0,0
53,67,14045,58,0,62,14045,58,0,57,14045,58,0,60,14045,58,0,62,14045,58,0,10,0,0,0
54,68,14580,60,0,63,14580,60,0,58,14580,60,0,61,14580,60,0,63,14580,60,0,10,0,0,0
55,69,15125,62,0,64,15125,62,0,59,15125,62,0,62,15125,62,0,64,15125,62,0,10,0,0,0
56,70,15680,64,0,65,15680,64,0,60,15680,64,0,63,15680,64,0,65,15680,64,0,10,0,0,0
57,71,16245,66,0,66,16245,66,0,61,16245,66,0,64,16245,66,0,66,16245,66,0,10,0,0,0
58,72,16820,68,0,67,16820,68,0,62,16820,68,0,65,16820,68,0,67,16820,68,0,10,0,0,0
59,73,17405,70,0,68,17405,70,0,63,17405,70,0,66,17405,70,0,68,17405,70,0,10,0,0,0
60,74,18000,72,0,69,18000,72,0,64,18000,72,0,67,18000,72,0,69,18000,72,0,10,0,0,0
61,75,18605,74,0,70,18605,74,0,65,18605,74,0,68,18605,74,0,70,18605,74,0,10,0,0,0
62,76,19220,76,0,71,19220,76,0,66,19220,76,0,69,19220,76,0,71,19220,76,0,10,0,0,0
63,77,19845,78,0,72,19845,78,0,67,19845,78,0,70,19845,78,0,72,19845,78,0,10,0,0,0
64,78,20480,80,0,73,20480,80,0,68,20480,80,0,71,20480,80,0,73,20480,80,0,10,0,0,0
65,79,21125,82,0,74,21125,82,0,69,21125,82,0,72,21125,82,0,74,21125,82,0,10,0,0,0
66,80,21780,84,0,75,21780,84,0,70,21780,84,0,73,21780,84,0,75,21780,84,0,10,0,0,0
67,81,22445,86,0,76,22445,86,0,71,22445,86,0,74,22445,86,0,76,22445,86,0,10,0,0,0
68,82,23120,88,0,77,23120,88,0,72,23120,88,0,75,23120,88,0,77,23120,88,0,10,0,0,0
69,83,23805,90,0,78,23805,90,0,73,23805,90,0,76,23805,90,0,78,23805,90,0,10,0,0,0
70,84,24500,92,1,79,24500,92,1,74,24500,92,1,77,24500,92,1,79,24500,92,1,10,0,0,0
71,85,25205,94,2,80,25205,94,2,75,25205,94,2,78,25205,94,2,80,25205,94,2,10,0,0,0
72,86,25920,96,3,81,25920,96,3,76,25920,96,3,79,25920,96,3,81,25920,96,3,10,0,0,0
73,87,26645,98,4,82,26645,98,4,77,26645,98,4,80,26645,98,4,82,26645,98,4,10,0,0,0
74,88,27380,100,5,83,27380,100,5,78,27380,100,5,81,27380,100,5,83,27380,100,5,10,0,0,0
75,89,28125,102,6,84,28125,102,6,79,28125,102,6,82,28125,102,6,84,28125,102,6,10,0,0,0
76,90,28880,104,7,85,28880,104,7,80,28880,104,7,83,28880,104,7,85,28880,104,7,10,0,0,0
77,91,29645,106,8,86,29645,106,8,81,29645,106,8,84,29645,106,8,86,29645,106,8,10,0,0,0
78,92,30420,108,9,87,30420,108,9,82,30420,108,9,85,30420,108,9,87,30420,108,9,10,0,0,0
79,93,31205,110,10,88,31205,110,10,83,31205,110,10,86,31205,110,10,88,31205,110,10,10,0,0,0
80,94,32000,112,11,89,32000,112,11,84,32000,112,11,87,32000,112,11,89,32000,112,11,10,0,0,0
81,95,32805,114,12,90,32805,114,12,85,32805,114,12,88,32805,114,12,90,32805,114,12,10,0,0,0
82,96,33620,116,13,91,33620,116,13,86,33620,116,13,89,33620,116,13,91,33620,116,13,10,0,0,0
83,97,34445,118,14,92,34445,118,14,87,34445,118,14,90,34445,118,14,92,34445,118,14,10,0,0,0
84,98,35280,120,15,93,35280,120,15,88,35280,120,15,91,35280,120,15,93,35280,120,15,10,0,0,0
85,99,36125,122,16,94,36125,122,16,89,36125,122,16,92,36125,122,16,94,36125,122,16,10,0,0,0
86,100,36980,124,17,95,36980,124,17,90,36980,124,17,93,36980,124,17,95,36980,124,17,10,0,0,0
87,101,37845,126,18,96,37845,126,18,91,37845,126,18,94,37845,126,18,96,37845,126,18,10,0,0,0
88,102,38720,128,19,97,38720,128,19,92,38720,128,19,95,38720,128,19,97,38720,128,19,10,0,0,0
89,103,39605,130,20,98,39605,130,20,93,39605,130,20,96,39605,130,20,98,39605,130,20,10,0,0,0
90,104,40500,132,21,99,40500,132,21,94,40500,132,21,97,40500,132,21,99,40500,132,21,10,0,0,0
91,105,41405,134,22,100,41405,134,22,95,41405,134,22,98,41405,134,22,100,41405,134,22,10,0,0,0
92,106,42320,136,23,101,42320,136,23,96,42320,136,23,99,42320,136,23,101,42320,136,23,10,0,0,0
93,107,43245,138,24,102,43245,138,24,97,43245,138,24,100,43245,138,24,102,43245,138,24,10,0,0,0
94,108,44180,140,25,103,44180,140,25,98,44180,140,25,101,44180,140,25,103,44180,140,25,10,0,0,0
95,109,45125,142,26,104,45125,142,26,99,45125,142,26,102,45125,142,26,104,45125,142,26,10,0,0,0
96,110,46080,144,27,105,46080,144,27,100,46080,144,27,103,46080,144,27,105,46080,144,27,10,0,0,0
97,111,47045,146,28,106,47045,146,28,101,47045,146,28,104,47045,146,28,106,47045,146,28,10,0,0,0
98,112,48020,148,29,107,48020,148,29,102,48020,148,29,105,48020,148,29,107,48020,148,29,10,0,0,0
99,113,49005,150,30,108,49005,150,30,103,49005,150,30,106,49005,150,30,108,49005,150,30,10,0,0,0
100,114,50000,152,31,109,50000,152,31,104,50000,152,31,107,50000,152,31,109,50000,152,31,10,0,0,0
