Level,maxUnits,maxUnits_Metal,maxUnits_Electricity,maxUnits_Uranium,pv,pv_Metal,pv_Electricity,pv_Uranium,damage,damage_Metal,damage_Electricity,damage_Uranium,cdAttack,cdAttack_Metal,cdAttack_Electricity,cdAttack_Uranium,rangeAttack,rangeAttack_Metal,rangeAttack_Electricity,rangeAttack_Uranium,nbAttack,nbAttack_Metal,nbAttack_Electricity,nbAttack_Uranium
18,25,1620,0,0,37,1620,0,0,25,1620,0,0,29,1620,0,0,32,1620,0,0,10,0,0,0
19,26,1805,0,0,38,1805,0,0,26,1805,0,0,30,1805,0,0,33,1805,0,0,10,0,0,0
20,27,2000,0,0,39,2000,0,0,27,2000,0,0,31,2000,0,0,34,2000,0,0,10,0,0,0
21,28,2205,0,0,40,2205,0,0,28,2205,0,0,32,2205,0,0,35,2205,0,0,10,0,0,0
22,29,2420,0,0,41,2420,0,0,29,2420,0,0,33,2420,0,0,36,2420,0,0,10,0,0,0
23,30,2645,0,0,42,2645,0,0,30,2645,0,0,34,2645,0,0,37,2645,0,0,10,0,0,0
24,31,2880,0,0,43,2880,0,0,31,2880,0,0,35,2880,0,0,38,2880,0,0,10,0,0,0
25,32,3125,2,0,44,3125,2,0,32,3125,2,0,36,3125,2,0,39,3125,2,0,10,0,0,0
26,33,3380,4,0,45,3380,4,0,33,3380,4,0,37,3380,4,0,40,3380,4,0,10,0,0,0
27,34,3645,6,0,46,3645,6,0,34,3645,6,0,38,3645,6,0,41,3645,6,0,10,0,0,0
28,35,3920,8,0,47,3920,8,0,35,3920,8,0,39,3920,8,0,42,3920,8,0,10,0,0,0
29,36,4205,10,0,48,4205,10,0,36,4205,10,0,40,4205,10,0,43,4205,10,0,10,0,0,0
30,37,4500,12,0,49,4500,12,0,37,4500,12,0,41,4500,12,0,44,4500,12,0,10,0,0,0
31,38,4805,14,0,50,4805,14,0,38,4805,14,0,42,4805,14,0,45,4805,14,0,10,0,0,0
32,39,5120,16,0,51,5120,16,0,39,5120,16,0,43,5120,16,0,46,5120,16,0,10,0,0,0
33,40,5445,18,0,52,5445,18,0,40,5445,18,0,44,5445,18,0,47,5445,18,0,10,0,0,0
34,41,5780,20,0,53,5780,20,0,41,5780,20,0,45,5780,20,0,48,5780,20,0,10,0,0,0
35,42,6125,22,0,54,6125,22,0,42,6125,22,0,46,6125,22,0,49,6125,22,0,10,0,0,0
36,43,6480,24,0,55,6480,24,0,43,6480,24,0,47,6480,24,0,50,6480,24,0,10,0,0,0
37,44,6845,26,0,56,6845,26,0,44,6845,26,0,48,6845,26,0,51,6845,26,0,10,0,0,0
38,45,7220,28,0,57,7220,28,0,45,7220,28,0,49,7220,28,0,52,7220,28,0,10,0,0,0
39,46,7605,30,0,58,7605,30,0,46,7605,30,0,50,7605,30,0,53,7605,30,0,10,0,0,0
40,47,8000,32,0,59,8000,32,0,47,8000,32,0,51,8000,32,0,54,8000,32,0,10,0,0,0
41,48,8405,34,0,60,8405,34,0,48,8405,34,0,52,8405,34,0,55,8405,34,0,10,0,0,0
42,49,8820,36,0,61,8820,36,0,49,8820,36,0,53,8820,36,0,56,8820,36,0,10,0,0,0
43,50,9245,38,0,62,9245,38,0,50,9245,38,0,54,9245,38,0,57,9245,38,0,10,0,0,0
44,51,9680,40,0,63,9680,40,0,51,9680,40,0,55,9680,40,0,58,9680,40,0,10,0,0,0
45,52,10125,42,0,64,10125,42,0,52,10125,42,0,56,10125,42,0,59,10125,42,0,10,0,0,0
46,53,10580,44,0,65,10580,44,0,53,10580,44,0,57,10580,44,0,60,10580,44,0,10,0,0,0
47,54,11045,46,0,66,11045,46,0,54,11045,46,0,58,11045,46,0,61,11045,46,0,10,0,0,0
48,55,11520,48,0,67,11520,48,0,55,11520,48,0,59,11520,48,0,62,11520,48,0,10,0,0,0
49,56,12005,50,0,68,12005,50,0,56,12005,50,0,60,12005,50,0,63,12005,50,0,10,0,0,0
50,57,12500,52,0,69,12500,52,0,57,12500,52,0,61,12500,52,0,64,12500,52,0,10,0,0,0
51,58,13005,54,0,70,13005,54,0,58,13005,54,0,62,13005,54,0,65,13005,54,0,10,0,0,0
52,59,13520,56,0,71,13520,56,0,59,13520,56,0,63,13520,56,0,66,13520,56,0,10,0,0,0
53,60,14045,58,0,72,14045,58,0,60,14045,58,0,64,14045,58,0,67,14045,58,0,10,0,0,0
54,61,14580,60,0,73,14580,60,0,61,14580,60,0,65,14580,60,0,68,14580,60,0,10,0,0,0
55,62,15125,62,0,74,15125,62,0,62,15125,62,0,66,15125,62,0,69,15125,62,0,10,0,0,0
56,63,15680,64,0,75,15680,64,0,63,15680,64,0,67,15680,64,0,70,15680,64,0,10,0,0,0
57,64,16245,66,0,76,16245,66,0,64,16245,66,0,68,16245,66,0,71,16245,66,0,10,0,0,0
58,65,16820,68,0,77,16820,68,0,65,16820,68,0,69,16820,68,0,72,16820,68,0,10,0,0,0
59,66,17405,70,0,78,17405,70,0,66,17405,70,0,70,17405,70,0,73,17405,70,0,10,0,0,0
60,67,18000,72,0,79,18000,72,0,67,18000,72,0,71,18000,72,0,74,18000,72,0,10,0,0,0
61,68,18605,74,0,80,18605,74,0,68,18605,74,0,72,18605,74,0,75,18605,74,0,10,0,0,0
62,69,19220,76,0,81,19220,76,0,69,19220,76,0,73,19220,76,0,76,19220,76,0,10,0,0,0
63,70,19845,78,0,82,19845,78,0,70,19845,78,0,74,19845,78,0,77,19845,78,0,10,0,0,0
64,71,20480,80,0,83,20480,80,0,71,20480,80,0,75,20480,80,0,78,20480,80,0,10,0,0,0
65,72,21125,82,0,84,21125,82,0,72,21125,82,0,76,21125,82,0,79,21125,82,0,10,0,0,0
66,73,21780,84,0,85,21780,84,0,73,21780,84,0,77,21780,84,0,80,21780,84,0,10,0,0,0
67,74,22445,86,0,86,22445,86,0,74,22445,86,0,78,22445,86,0,81,22445,86,0,10,0,0,0
68,75,23120,88,0,87,23120,88,0,75,23120,88,0,79,23120,88,0,82,23120,88,0,10,0,0,0
69,76,23805,90,0,88,23805,90,0,76,23805,90,0,80,23805,90,0,83,23805,90,0,10,0,0,0
70,77,24500,92,1,89,24500,92,1,77,24500,92,1,81,24500,92,1,84,24500,92,1,10,0,0,0
71,78,25205,94,2,90,25205,94,2,78,25205,94,2,82,25205,94,2,85,25205,94,2,10,0,0,0
72,79,25920,96,3,91,25920,96,3,79,25920,96,3,83,25920,96,3,86,25920,96,3,10,0,0,0
73,80,26645,98,4,92,26645,98,4,80,26645,98,4,84,26645,98,4,87,26645,98,4,10,0,0,0
74,81,27380,100,5,93,27380,100,5,81,27380,100,5,85,27380,100,5,88,27380,100,5,10,0,0,0
75,82,28125,102,6,94,28125,102,6,82,28125,102,6,86,28125,102,6,89,28125,102,6,10,0,0,0
76,83,28880,104,7,95,28880,104,7,83,28880,104,7,87,28880,104,7,90,28880,104,7,10,0,0,0
77,84,29645,106,8,96,29645,106,8,84,29645,106,8,88,29645,106,8,91,29645,106,8,10,0,0,0
78,85,30420,108,9,97,30420,108,9,85,30420,108,9,89,30420,108,9,92,30420,108,9,10,0,0,0
79,86,31205,110,10,98,31205,110,10,86,31205,110,10,90,31205,110,10,93,31205,110,10,10,0,0,0
80,87,32000,112,11,99,32000,112,11,87,32000,112,11,91,32000,112,11,94,32000,112,11,10,0,0,0
81,88,32805,114,12,100,32805,114,12,88,32805,114,12,92,32805,114,12,95,32805,114,12,10,0,0,0
82,89,33620,116,13,101,33620,116,13,89,33620,116,13,93,33620,116,13,96,33620,116,13,10,0,0,0
83,90,34445,118,14,102,34445,118,14,90,34445,118,14,94,34445,118,14,97,34445,118,14,10,0,0,0
84,91,35280,120,15,103,35280,120,15,91,35280,120,15,95,35280,120,15,98,35280,120,15,10,0,0,0
85,92,36125,122,16,104,36125,122,16,92,36125,122,16,96,36125,122,16,99,36125,122,16,10,0,0,0
86,93,36980,124,17,105,36980,124,17,93,36980,124,17,97,36980,124,17,100,36980,124,17,10,0,0,0
87,94,37845,126,18,106,37845,126,18,94,37845,126,18,98,37845,126,18,101,37845,126,18,10,0,0,0
88,95,38720,128,19,107,38720,128,19,95,38720,128,19,99,38720,128,19,102,38720,128,19,10,0,0,0
89,96,39605,130,20,108,39605,130,20,96,39605,130,20,100,39605,130,20,103,39605,130,20,10,0,0,0
90,97,40500,132,21,109,40500,132,21,97,40500,132,21,101,40500,132,21,104,40500,132,21,10,0,0,0
91,98,41405,134,22,110,41405,134,22,98,41405,134,22,102,41405,134,22,105,41405,134,22,10,0,0,0
92,99,42320,136,23,111,42320,136,23,99,42320,136,23,103,42320,136,23,106,42320,136,23,10,0,0,0
93,100,43245,138,24,112,43245,138,24,100,43245,138,24,104,43245,138,24,107,43245,138,24,10,0,0,0
94,101,44180,140,25,113,44180,140,25,101,44180,140,25,105,44180,140,25,108,44180,140,25,10,0,0,0
95,102,45125,142,26,114,45125,142,26,102,45125,142,26,106,45125,142,26,109,45125,142,26,10,0,0,0
96,103,46080,144,27,115,46080,144,27,103,46080,144,27,107,46080,144,27,110,46080,144,27,10,0,0,0
97,104,47045,146,28,116,47045,146,28,104,47045,146,28,108,47045,146,28,111,47045,146,28,10,0,0,0
98,105,48020,148,29,117,48020,148,29,105,48020,148,29,109,48020,148,29,112,48020,148,29,10,0,0,0
99,106,49005,150,30,118,49005,150,30,106,49005,150,30,110,49005,150,30,113,49005,150,30,10,0,0,0
100,107,50000,152,31,119,50000,152,31,107,50000,152,31,111,50000,152,31,114,50000,152,31,10,0,0,0
